NO_ENTIDADE,CO_ENTIDADE,NO_BAIRRO,TOTAL_MATRICULAS,TOTAL_COMP_ALUNOS,COMP_POR_100_ALUNOS,INFRA_BASICA,AMBIENTES_EDUC,ACESSIBILIDADE,TECNOLOGIA,INDICE_GERAL_INFRA
GUIDO STRAUBE C E PROFEF M PROFIS,41129687,MERCES,461.0,60.0,13.015184381778742,1.0,0.7777777777777778,0.2857142857142857,0.8333333333333334,0.7242063492063492
FACULDADE DE TECNOLOGIA TUPY CURITIBA,41154290,PINHEIRINHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARIGUI C M E I,41356004,FAZENDINHA,206.0,24.0,11.650485436893204,1.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.5357142857142857
CEU AZUL C E I,41128290,BACACHERI,364.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.4583333333333333
NATALIA REGINATO C EEF M PROFIS,41131479,VL OFICINAS,1727.0,58.0,3.35842501447597,1.0,0.7777777777777778,0.14285714285714285,0.8333333333333334,0.6884920634920635
JULIA WANDERLEY C EEF M PROFIS,41130340,BATEL,2154.0,71.0,3.2961931290622095,1.0,0.7777777777777778,0.5714285714285714,0.8333333333333334,0.7956349206349206
MARIA DO CARMO MARTINS E MEI EF,41130871,CIC,1094.0,55.0,5.027422303473491,1.0,0.8888888888888888,0.2857142857142857,0.8333333333333334,0.751984126984127
FLOR CRIANCA C E I,41156498,NOVO MUNDO,74.0,4.0,5.405405405405405,1.0,0.3333333333333333,0.2857142857142857,0.5,0.5297619047619048
CANDIDO PORTINARI E M DO CAICEI EF,41129180,CIC,2526.0,29.0,1.1480601741884402,1.0,1.0,0.0,0.8333333333333334,0.7083333333333334
JARDIM SAVANA C M E I,41355970,GUABIROTUBA,136.0,18.0,13.23529411764706,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
CENAZA C E I,41376692,PAROLIN,214.0,5.0,2.336448598130841,1.0,0.5555555555555556,0.2857142857142857,0.5,0.5853174603174603
COLEGIO VICENTINO SAO JOSE,41133285,ABRANCHES,1416.0,44.0,3.1073446327683616,1.0,0.8888888888888888,0.42857142857142855,0.8333333333333334,0.7876984126984127
AURORA UNIDADE II E - EF,41164660,ABRANCHES,182.0,5.0,2.7472527472527473,1.0,0.7777777777777778,0.14285714285714285,0.6666666666666666,0.6468253968253967
ESCOLA BOM JESUSENSINO FUNDAMENTAL SUBSEDE AGUA VERDE I,41352912,AGUA VERDE,1774.0,50.0,2.818489289740699,1.0,1.0,0.7142857142857143,0.8333333333333334,0.886904761904762
